; This file describes the collections of curated position-specific
; scoring matrices (PSSM) used by the tools compare-matrices and
; peak-motifs, in order to compare discovered motifs with those bound
; by known transcription factors.
;
; Column description
;	1	DB_NAME	Database name
;	2	FORMAT	Matrix format (see convert-matrices for supported formats)
;	3	FILE    Matrix file (path relative to the motif DB directory ${RSAT}/data/motif_databases/)
;	4	DESCR	Human-readable description of the database (source, data type, ...)
;	5	VERSION	Version (date) of the import
;	6	URL	URL from the file from which matrices were obtained
;	7	LABEL	label to group in the web matrix selector
;	8	DATABASE	source database
#COLLECTION	FORMAT	FILE	DESCR	VERSION	URL	CATEGORY	DATABASE
;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; Fungi motif databases ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yeastract	tf	Yeastract/yeastract_20150629.tf	Yeastract s_cerevisiae	20130918	http://www.yeastract.com/	Fungi	Yeastract
cisBP_Drosophila_erecta	tf	cisBP2/cisBP_Drosophila_erecta_2019.tf	cisBP Drosophila_erecta	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Drosophila_grimshawi	tf	cisBP2/cisBP_Drosophila_grimshawi_2019.tf	cisBP Drosophila_grimshawi	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Drosophila_melanogaster	tf	cisBP2/cisBP_Drosophila_melanogaster_2019.tf	cisBP Drosophila_melanogaster	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Drosophila_mojavensis	tf	cisBP2/cisBP_Drosophila_mojavensis_2019.tf	cisBP Drosophila_mojavensis	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Drosophila_persimilis	tf	cisBP2/cisBP_Drosophila_persimilis_2019.tf	cisBP Drosophila_persimilis	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Drosophila_pseudoobscura	tf	cisBP2/cisBP_Drosophila_pseudoobscura_2019.tf	cisBP Drosophila_pseudoobscura	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Drosophila_sechellia	tf	cisBP2/cisBP_Drosophila_sechellia_2019.tf	cisBP Drosophila_sechellia	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Drosophila_simulans	tf	cisBP2/cisBP_Drosophila_simulans_2019.tf	cisBP Drosophila_simulans	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Drosophila_virilis	tf	cisBP2/cisBP_Drosophila_virilis_2019.tf	cisBP Drosophila_virilis	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Drosophila_willistoni	tf	cisBP2/cisBP_Drosophila_willistoni_2019.tf	cisBP Drosophila_willistoni	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Drosophila_yakuba	tf	cisBP2/cisBP_Drosophila_yakuba_2019.tf	cisBP Drosophila_yakuba	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Echinops_telfairi	tf	cisBP2/cisBP_Echinops_telfairi_2019.tf	cisBP Echinops_telfairi	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Equus_caballus	tf	cisBP2/cisBP_Equus_caballus_2019.tf	cisBP Equus_caballus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Erinaceus_europaeus	tf	cisBP2/cisBP_Erinaceus_europaeus_2019.tf	cisBP Erinaceus_europaeus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Gallus_gallus	tf	cisBP2/cisBP_Gallus_gallus_2019.tf	cisBP Gallus_gallus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Heliconius_melpomene	tf	cisBP2/cisBP_Heliconius_melpomene_2019.tf	cisBP Heliconius_melpomene	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Helobdella_robusta	tf	cisBP2/cisBP_Helobdella_robusta_2019.tf	cisBP Helobdella_robusta	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Homo_sapiens	tf	cisBP2/cisBP_Homo_sapiens_2019.tf	cisBP Homo_sapiens	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Ixodes_scapularis	tf	cisBP2/cisBP_Ixodes_scapularis_2019.tf	cisBP Ixodes_scapularis	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Loa_loa	tf	cisBP2/cisBP_Loa_loa_2019.tf	cisBP Loa_loa	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Lottia_gigantea	tf	cisBP2/cisBP_Lottia_gigantea_2019.tf	cisBP Lottia_gigantea	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Lucilia_cuprina	tf	cisBP2/cisBP_Lucilia_cuprina_2019.tf	cisBP Lucilia_cuprina	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Megaselia_scalaris	tf	cisBP2/cisBP_Megaselia_scalaris_2019.tf	cisBP Megaselia_scalaris	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Melitaea_cinxia	tf	cisBP2/cisBP_Melitaea_cinxia_2019.tf	cisBP Melitaea_cinxia	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Mus_musculus	tf	cisBP2/cisBP_Mus_musculus_2019.tf	cisBP Mus_musculus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Nasonia_vitripennis	tf	cisBP2/cisBP_Nasonia_vitripennis_2019.tf	cisBP Nasonia_vitripennis	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Nematostella_vectensis	tf	cisBP2/cisBP_Nematostella_vectensis_2019.tf	cisBP Nematostella_vectensis	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Octopus_bimaculoides	tf	cisBP2/cisBP_Octopus_bimaculoides_2019.tf	cisBP Octopus_bimaculoides	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Onchocerca_volvulus	tf	cisBP2/cisBP_Onchocerca_volvulus_2019.tf	cisBP Onchocerca_volvulus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Oreochromis_niloticus	tf	cisBP2/cisBP_Oreochromis_niloticus_2019.tf	cisBP Oreochromis_niloticus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Pediculus_humanus	tf	cisBP2/cisBP_Pediculus_humanus_2019.tf	cisBP Pediculus_humanus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Pristionchus_pacificus	tf	cisBP2/cisBP_Pristionchus_pacificus_2019.tf	cisBP Pristionchus_pacificus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Rattus_norvegicus	tf	cisBP2/cisBP_Rattus_norvegicus_2019.tf	cisBP Rattus_norvegicus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Rhodnius_prolixus	tf	cisBP2/cisBP_Rhodnius_prolixus_2019.tf	cisBP Rhodnius_prolixus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Saccharomyces_cerevisiae	tf	cisBP2/cisBP_Saccharomyces_cerevisiae_2019.tf	cisBP Saccharomyces_cerevisiae	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Fungi	cisBP
cisBP_Schistosoma_mansoni	tf	cisBP2/cisBP_Schistosoma_mansoni_2019.tf	cisBP Schistosoma_mansoni	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Solenopsis_invicta	tf	cisBP2/cisBP_Solenopsis_invicta_2019.tf	cisBP Solenopsis_invicta	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Strigamia_maritima	tf	cisBP2/cisBP_Strigamia_maritima_2019.tf	cisBP Strigamia_maritima	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Strongylocentrotus_purpuratus	tf	cisBP2/cisBP_Strongylocentrotus_purpuratus_2019.tf	cisBP Strongylocentrotus_purpuratus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Tetranychus_urticae	tf	cisBP2/cisBP_Tetranychus_urticae_2019.tf	cisBP Tetranychus_urticae	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Tribolium_castaneum	tf	cisBP2/cisBP_Tribolium_castaneum_2019.tf	cisBP Tribolium_castaneum	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Trichinella_spiralis	tf	cisBP2/cisBP_Trichinella_spiralis_2019.tf	cisBP Trichinella_spiralis	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Trichoplax_adhaerens	tf	cisBP2/cisBP_Trichoplax_adhaerens_2019.tf	cisBP Trichoplax_adhaerens	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Xenopus_tropicalis	tf	cisBP2/cisBP_Xenopus_tropicalis_2019.tf	cisBP Xenopus_tropicalis	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Vertebrates	cisBP
cisBP_Zootermopsis_nevadensis	tf	cisBP2/cisBP_Zootermopsis_nevadensis_2019.tf	cisBP Zootermopsis_nevadensis	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Non-vertebrate Metazoa	cisBP
cisBP_Aegilops_tauschii	tf	cisBP2/cisBP_Aegilops_tauschii_2019.tf	cisBP Aegilops_tauschii	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Amborella_trichopoda	tf	cisBP2/cisBP_Amborella_trichopoda_2019.tf	cisBP Amborella_trichopoda	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Arabidopsis_lyrata	tf	cisBP2/cisBP_Arabidopsis_lyrata_2019.tf	cisBP Arabidopsis_lyrata	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Brachypodium_distachyon	tf	cisBP2/cisBP_Brachypodium_distachyon_2019.tf	cisBP Brachypodium_distachyon	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Brassica_napus	tf	cisBP2/cisBP_Brassica_napus_2019.tf	cisBP Brassica_napus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Brassica_oleracea	tf	cisBP2/cisBP_Brassica_oleracea_2019.tf	cisBP Brassica_oleracea	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Brassica_rapa	tf	cisBP2/cisBP_Brassica_rapa_2019.tf	cisBP Brassica_rapa	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Chlamydomonas_reinhardtii	tf	cisBP2/cisBP_Chlamydomonas_reinhardtii_2019.tf	cisBP Chlamydomonas_reinhardtii	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Cucumis_sativus	tf	cisBP2/cisBP_Cucumis_sativus_2019.tf	cisBP Cucumis_sativus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Fragaria_vesca	tf	cisBP2/cisBP_Fragaria_vesca_2019.tf	cisBP Fragaria_vesca	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Glycine_max	tf	cisBP2/cisBP_Glycine_max_2019.tf	cisBP Glycine_max	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Gossypium_raimondii	tf	cisBP2/cisBP_Gossypium_raimondii_2019.tf	cisBP Gossypium_raimondii	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Helianthus_annuus	tf	cisBP2/cisBP_Helianthus_annuus_2019.tf	cisBP Helianthus_annuus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Hordeum_vulgare	tf	cisBP2/cisBP_Hordeum_vulgare_2019.tf	cisBP Hordeum_vulgare	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Leersia_perrieri	tf	cisBP2/cisBP_Leersia_perrieri_2019.tf	cisBP Leersia_perrieri	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Manihot_esculenta	tf	cisBP2/cisBP_Manihot_esculenta_2019.tf	cisBP Manihot_esculenta	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Medicago_truncatula	tf	cisBP2/cisBP_Medicago_truncatula_2019.tf	cisBP Medicago_truncatula	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Musa_acuminata	tf	cisBP2/cisBP_Musa_acuminata_2019.tf	cisBP Musa_acuminata	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Oryza_barthii	tf	cisBP2/cisBP_Oryza_barthii_2019.tf	cisBP Oryza_barthii	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Oryza_brachyantha	tf	cisBP2/cisBP_Oryza_brachyantha_2019.tf	cisBP Oryza_brachyantha	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Oryza_glaberrima	tf	cisBP2/cisBP_Oryza_glaberrima_2019.tf	cisBP Oryza_glaberrima	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Oryza_glumaepatula	tf	cisBP2/cisBP_Oryza_glumaepatula_2019.tf	cisBP Oryza_glumaepatula	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Oryza_indica	tf	cisBP2/cisBP_Oryza_indica_2019.tf	cisBP Oryza_indica	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Oryza_longistaminata	tf	cisBP2/cisBP_Oryza_longistaminata_2019.tf	cisBP Oryza_longistaminata	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Oryza_meridionalis	tf	cisBP2/cisBP_Oryza_meridionalis_2019.tf	cisBP Oryza_meridionalis	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Oryza_nivara	tf	cisBP2/cisBP_Oryza_nivara_2019.tf	cisBP Oryza_nivara	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Oryza_punctata	tf	cisBP2/cisBP_Oryza_punctata_2019.tf	cisBP Oryza_punctata	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Oryza_rufipogon	tf	cisBP2/cisBP_Oryza_rufipogon_2019.tf	cisBP Oryza_rufipogon	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Oryza_sativa	tf	cisBP2/cisBP_Oryza_sativa_2019.tf	cisBP Oryza_sativa	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Ostreococcus_lucimarinus	tf	cisBP2/cisBP_Ostreococcus_lucimarinus_2019.tf	cisBP Ostreococcus_lucimarinus	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Phaseolus_vulgaris	tf	cisBP2/cisBP_Phaseolus_vulgaris_2019.tf	cisBP Phaseolus_vulgaris	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Physcomitrella_patens	tf	cisBP2/cisBP_Physcomitrella_patens_2019.tf	cisBP Physcomitrella_patens	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Populus_trichocarpa	tf	cisBP2/cisBP_Populus_trichocarpa_2019.tf	cisBP Populus_trichocarpa	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Prunus_mume	tf	cisBP2/cisBP_Prunus_mume_2019.tf	cisBP Prunus_mume	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Prunus_persica	tf	cisBP2/cisBP_Prunus_persica_2019.tf	cisBP Prunus_persica	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Selaginella_moellendorffii	tf	cisBP2/cisBP_Selaginella_moellendorffii_2019.tf	cisBP Selaginella_moellendorffii	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Setaria_italica	tf	cisBP2/cisBP_Setaria_italica_2019.tf	cisBP Setaria_italica	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Solanum_lycopersicum	tf	cisBP2/cisBP_Solanum_lycopersicum_2019.tf	cisBP Solanum_lycopersicum	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Solanum_tuberosum	tf	cisBP2/cisBP_Solanum_tuberosum_2019.tf	cisBP Solanum_tuberosum	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Sorghum_bicolor	tf	cisBP2/cisBP_Sorghum_bicolor_2019.tf	cisBP Sorghum_bicolor	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Triticum_aestivum	tf	cisBP2/cisBP_Triticum_aestivum_2019.tf	cisBP Triticum_aestivum	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Triticum_urartu	tf	cisBP2/cisBP_Triticum_urartu_2019.tf	cisBP Triticum_urartu	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Vitis_vinifera	tf	cisBP2/cisBP_Vitis_vinifera_2019.tf	cisBP Vitis_vinifera	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
cisBP_Zea_mays	tf	cisBP2/cisBP_Zea_mays_2019.tf	cisBP Zea_mays	2019-06_v2.00	http://cisbp.ccbr.utoronto.ca/bulk.php	Plants	cisBP
;
;;;;;;;;;;;;;;;;;;;;;;;;;
;; Old motif databases ;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;regulonDB"	tf	REGULONDB/regulonDB_2012-05.tf	RegulonDB prokaryotes	2012_05	http://regulondb.ccg.unam.mx/
;FlyFactorSurvey"	tf	FlyFactorSurvey/PWM_FlyFactorSurvey.tf	Drosophila Database of Drosophila TD DNA-binding specificities	2011_06	http://pgfe.umassmed.edu/ffs/
;Uniprobe_worm"	tf	uniprobe/uniprobe_worm_Cell09.tf	Uniprobe worm from Groves (Cell09)	2009	http://thebrain.bwh.harvard.edu/uniprobe/downloads/Cell09/worm_pwm_all.zip
;cisBP
;cisBP_human"	tf	cisBP/cisBP_Homo_sapiens_2013-12.tf	cisBP human	2013-12_v0.9	http://cisbp.ccbr.utoronto.ca/ 
;cisBP_mouse"	tf	cisBP/cisBP_Mus_musculus_2013-12.tf	cisBP mouse	2013-12_v0.9	http://cisbp.ccbr.utoronto.ca/
;Hocomoco_human"	tf	HOCOMOCO/HOCOMOCO_2015-08-07.tf	Hocomoco (Human TFs)	2015-08	http://autosome.ru/HOCOMOCO/
;Hocomoco_human"	tf	HOCOMOCO/HOCOMOCO_2015-11-23_Human.tf	Hocomoco (Human TFs)	2015-11	http://www.cbrc.kaust.edu.sa/hocomoco10/
;Hocomoco_mouse"	tf	HOCOMOCO/HOCOMOCO_2015-11-23_Mouse.tf	Hocomoco (Mouse TFs)	2015-11	http://www.cbrc.kaust.edu.sa/hocomoco10/
;Smile_Seq_Fly"	tf	Smile-seq/Smile_seq_fly_motifs.tf	Smile-seq (Drosohpila TF dimers)	2018_04	https://www.nature.com/articles/nmeth.4143
;Smile_Seq_Human"	tf	Smile-seq/Smile_seq_human_motifs.tf	Smile-seq (Human TF dimers)	2018_04	https://www.nature.com/articles/nmeth.4143
;Smile_Seq_Mouse"	tf	Smile-seq/Smile_seq_mouse_motifs.tf	Smile-seq (Mouse TF dimers)	2018_04	https://www.nature.com/articles/nmeth.4143
; JASPAR redundant and nonredundant !
; JASPAR IMPORT 2016-03-01
;jaspar_core_redundant_all"	tf	JASPAR/Jaspar_2016/jaspar_core_redundant_all_2016.tf	 JASPAR core redundant all	2016	http://jaspar.genereg.net/html/DOWNLOAD/JASPAR_CORE/pfm/redundant/pfm_all.txt
;jaspar_core_nonredundant_all"	tf	JASPAR/Jaspar_2016/jaspar_core_nonredundant_all_2016.tf	 JASPAR core nonredundant all	2016	http://jaspar.genereg.net/html/DOWNLOAD/JASPAR_CORE/pfm/nonredundant/pfm_all.txt
;jaspar_core_redundant_fungi"	tf	JASPAR/Jaspar_2016/jaspar_core_redundant_fungi_2016.tf	 JASPAR core redundant fungi	2016	http://jaspar.genereg.net/html/DOWNLOAD/JASPAR_CORE/pfm/redundant/pfm_fungi.txt
;jaspar_core_nonredundant_fungi"	tf	JASPAR/Jaspar_2016/jaspar_core_nonredundant_fungi_2016.tf	 JASPAR core nonredundant fungi	2016	http://jaspar.genereg.net/html/DOWNLOAD/JASPAR_CORE/pfm/nonredundant/pfm_fungi.txt
;jaspar_core_redundant_insects"	tf	JASPAR/Jaspar_2016/jaspar_core_redundant_insects_2016.tf	 JASPAR core redundant insects	2016	http://jaspar.genereg.net/html/DOWNLOAD/JASPAR_CORE/pfm/redundant/pfm_insects.txt
;jaspar_core_nonredundant_insects"	tf	JASPAR/Jaspar_2016/jaspar_core_nonredundant_insects_2016.tf	 JASPAR core nonredundant insects	2016	http://jaspar.genereg.net/html/DOWNLOAD/JASPAR_CORE/pfm/nonredundant/pfm_insects.txt
;jaspar_core_redundant_nematodes"	tf	JASPAR/Jaspar_2016/jaspar_core_redundant_nematodes_2016.tf	 JASPAR core redundant nematodes	2016	http://jaspar.genereg.net/html/DOWNLOAD/JASPAR_CORE/pfm/redundant/pfm_nematodes.txt
;jaspar_core_nonredundant_nematodes"	tf	JASPAR/Jaspar_2016/jaspar_core_nonredundant_nematodes_2016.tf	 JASPAR core nonredundant nematodes	2016	http://jaspar.genereg.net/html/DOWNLOAD/JASPAR_CORE/pfm/nonredundant/pfm_nematodes.txt
;jaspar_core_redundant_plants"	tf	JASPAR/Jaspar_2016/jaspar_core_redundant_plants_2016.tf	 JASPAR core redundant plants	2016	http://jaspar.genereg.net/html/DOWNLOAD/JASPAR_CORE/pfm/redundant/pfm_plants.txt
;jaspar_core_nonredundant_plants"	tf	JASPAR/Jaspar_2016/jaspar_core_nonredundant_plants_2016.tf	 JASPAR core nonredundant plants	2016	http://jaspar.genereg.net/html/DOWNLOAD/JASPAR_CORE/pfm/nonredundant/pfm_plants.txt
;jaspar_core_redundant_urochordates"	tf	JASPAR/Jaspar_2016/jaspar_core_redundant_urochordates_2016.tf	 JASPAR core redundant urochordates	2016	http://jaspar.genereg.net/html/DOWNLOAD/JASPAR_CORE/pfm/redundant/pfm_urochordates.txt
;jaspar_core_nonredundant_urochordates"	tf	JASPAR/Jaspar_2016/jaspar_core_nonredundant_urochordates_2016.tf	 JASPAR core nonredundant urochordates	2016	http://jaspar.genereg.net/html/DOWNLOAD/JASPAR_CORE/pfm/nonredundant/pfm_urochordates.txt
;jaspar_core_redundant_vertebrates"	tf	JASPAR/Jaspar_2016/jaspar_core_redundant_vertebrates_2016.tf	 JASPAR core redundant vertebrates	2016	http://jaspar.genereg.net/html/DOWNLOAD/JASPAR_CORE/pfm/redundant/pfm_vertebrates.txt
;jaspar_core_nonredundant_vertebrates"	tf	JASPAR/Jaspar_2016/jaspar_core_nonredundant_vertebrates_2016.tf	 JASPAR core nonredundant vertebrates	2016	http://jaspar.genereg.net/html/DOWNLOAD/JASPAR_CORE/pfm/nonredundant/pfm_vertebrates.txt
;jaspar_core_nonredundant_all"	tf	JASPAR/Jaspar_2018/nonredundant/JASPAR2018_CORE_all_non-redundant_pfms_transfac.tf	JASPAR core nonredundant all	2018	http://jaspar2018.genereg.net/download/CORE/JASPAR2018_CORE_non-redundant_pfms_transfac.txt	Multi-organisms
;jaspar_core_nonredundant_fungi"	tf	JASPAR/Jaspar_2018/nonredundant/JASPAR2018_CORE_fungi_non-redundant_pfms_transfac.tf	JASPAR core nonredundant fungi	2018	http://jaspar2018.genereg.net/download/CORE/JASPAR2018_CORE_fungi_non-redundant_pfms_transfac.txt	Fungi
;jaspar_core_nonredundant_insects"	tf	JASPAR/Jaspar_2018/nonredundant/JASPAR2018_CORE_insects_non-redundant_pfms_transfac.tf	JASPAR core nonredundant insects	2018	http://jaspar2018.genereg.net/download/CORE/JASPAR2018_CORE_insects_non-redundant_pfms_transfac.txt	Non-vertebrate Metazoa
;jaspar_core_nonredundant_nematodes"	tf	JASPAR/Jaspar_2018/nonredundant/JASPAR2018_CORE_nematodes_non-redundant_pfms_transfac.tf	JASPAR core nonredundant nematodes	2018	http://jaspar2018.genereg.net/download/CORE/JASPAR2018_CORE_nematodes_non-redundant_pfms_transfac.txt	Non-vertebrate Metazoa
;jaspar_core_nonredundant_plants"	tf	JASPAR/Jaspar_2018/nonredundant/JASPAR2018_CORE_plants_non-redundant_pfms_transfac.tf	JASPAR core nonredundant plants	2018	http://jaspar2018.genereg.net/download/CORE/JASPAR2018_CORE_plants_non-redundant_pfms_transfac.txt	Plants
